"","Estimate.Status","Year","Fishing.Year","Fishing.Mode","Fishing.Area","Cumulative.Through","PSE","Does.Angler.Trips.Meet.MRIP.Standard","Is.Angler.Trips.Significantly.Different.From.0","Angler.Trips","Angler.Trips.Lower.95..Confidence.Limit","Angler.Trips.Upper.95..Confidence.Limit"
"147","FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",22.9,"YES","YES","100,240","55,248","145,231"
"148","FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",33.5,"CAUTION","YES","20,981","7,205","34,758"
"149","FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",17.5,"YES","YES","166,001","109,062","222,939"
"150","FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",13.6,"YES","YES","895,385","656,711","1,134,059"
"151","FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",24.4,"YES","YES","399,701","208,548","590,854"
"152","FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.6,"YES","YES","2,971,974","2,587,519","3,356,428"
"153","FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",20.4,"YES","YES","826,705","496,155","1,157,255"
"154","FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",5.7,"YES","YES","5,849,353","5,195,864","6,502,843"
"155","FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",21.1,"YES","YES","146,926","86,163","207,689"
"156","FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",32.7,"CAUTION","YES","45,204","16,232","74,176"
"157","FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",26.7,"YES","YES","116,325","55,450","177,200"
"158","FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",12.4,"YES","YES","1,306,251","988,780","1,623,722"
"159","FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",25.7,"YES","YES","392,236","194,659","589,813"
"160","FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",7.6,"YES","YES","2,790,614","2,374,925","3,206,304"
"161","FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",15,"YES","YES","1,479,881","1,044,796","1,914,965"
"162","FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",6.3,"YES","YES","5,492,404","4,814,202","6,170,606"
"163","FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",18.7,"YES","YES","143,673","91,014","196,332"
"164","FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",37.6,"CAUTION","YES","55,403","14,573","96,233"
"165","FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",17.8,"YES","YES","138,216","89,996","186,437"
"166","FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",12.8,"YES","YES","792,556","593,719","991,392"
"167","FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",20.2,"YES","YES","444,000","268,211","619,788"
"168","FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",5.9,"YES","YES","3,353,367","2,965,584","3,741,151"
"169","FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",15,"YES","YES","1,724,472","1,217,477","2,231,467"
"170","FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",6.8,"YES","YES","5,288,146","4,583,342","5,992,950"
"171","FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",13.5,"YES","YES","151,798","111,632","191,964"
"172","FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",32,"CAUTION","YES","37,653","14,037","61,268"
"173","FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",15,"YES","YES","144,560","102,060","187,061"
"174","FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",12.1,"YES","YES","1,521,772","1,160,868","1,882,675"
"175","FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",36.4,"CAUTION","YES","225,131","64,513","385,748"
"176","FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.9,"YES","YES","3,035,120","2,624,650","3,445,589"
"177","FINAL",2003,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",13.5,"YES","YES","1,609,904","1,183,923","2,035,885"
"178","FINAL",2003,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",6.3,"YES","YES","5,905,847","5,176,593","6,635,101"
"179","FINAL",2003,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",16.3,"YES","YES","142,784","97,168","188,401"
"180","FINAL",2003,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",25.2,"YES","YES","55,382","28,028","82,737"
"181","FINAL",2003,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY/CHARTER BOAT","INLAND","ANNUAL",13.1,"YES","YES","207,269","154,050","260,487"
"182","FINAL",2003,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",9.4,"YES","YES","1,675,039","1,366,430","1,983,648"
"183","FINAL",2003,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",21.1,"YES","YES","466,536","273,596","659,477"
"184","FINAL",2003,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.8,"YES","YES","3,255,319","2,821,450","3,689,188"
"185","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",24.9,"YES","YES","1,820,310","931,926","2,708,695"
"186","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",9.2,"YES","YES","5,915,325","4,848,674","6,981,977"
"187","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (<= 3 MI)","ANNUAL",26,"YES","YES","75,121","36,840","113,403"
"188","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (> 3 MI)","ANNUAL",30.5,"CAUTION","YES","33,745","13,572","53,918"
"189","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","INLAND","ANNUAL",29.1,"YES","YES","87,144","37,441","136,847"
"190","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",27.3,"YES","YES","44,418","20,651","68,185"
"191","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",24.7,"YES","YES","37,355","19,271","55,439"
"192","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","INLAND","ANNUAL",24.3,"YES","YES","110,322","57,778","162,866"
"193","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",12.4,"YES","YES","1,234,985","934,834","1,535,136"
"194","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",25.3,"YES","YES","447,415","225,551","669,279"
"195","FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.5,"YES","YES","3,678,310","3,209,693","4,146,927"
"196","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",15.6,"YES","YES","3,084,590","2,141,446","4,027,735"
"197","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",10.6,"YES","YES","5,031,851","3,986,434","6,077,268"
"198","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (<= 3 MI)","ANNUAL",17.4,"YES","YES","41,158","27,121","55,194"
"199","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (> 3 MI)","ANNUAL",16.6,"YES","YES","23,696","15,986","31,406"
"200","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","INLAND","ANNUAL",20,"YES","YES","111,537","67,815","155,260"
"201","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",16.7,"YES","YES","66,474","44,716","88,232"
"202","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",54.4,"NO","NO","45,165","0","93,322"
"203","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","INLAND","ANNUAL",32.6,"CAUTION","YES","95,000","34,299","155,702"
"204","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",15.2,"YES","YES","1,357,624","953,160","1,762,087"
"205","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",33.4,"CAUTION","YES","812,430","280,581","1,344,280"
"206","FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",9.1,"YES","YES","3,480,984","2,860,115","4,101,852"
"207","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",18.4,"YES","YES","1,926,662","1,231,831","2,621,493"
"208","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",8.3,"YES","YES","6,059,791","5,073,984","7,045,598"
"209","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (<= 3 MI)","ANNUAL",11.5,"YES","YES","39,919","30,922","48,917"
"210","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (> 3 MI)","ANNUAL",18.4,"YES","YES","32,215","20,597","43,833"
"211","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","INLAND","ANNUAL",14.8,"YES","YES","62,363","44,273","80,453"
"212","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","UNKNOWN","ANNUAL",7.4,"YES","YES","415","355","476"
"213","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",8.9,"YES","YES","39,181","32,346","46,015"
"214","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",16.5,"YES","YES","23,172","15,678","30,666"
"215","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","INLAND","ANNUAL",16.8,"YES","YES","77,399","51,913","102,885"
"216","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","UNKNOWN","ANNUAL",9.5,"YES","YES","735","598","872"
"217","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",12.4,"YES","YES","1,274,370","964,647","1,584,093"
"218","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",26,"YES","YES","742,946","364,341","1,121,551"
"219","FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",7.6,"YES","YES","3,442,750","2,929,918","3,955,582"
"220","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",17.7,"YES","YES","2,037,317","1,330,531","2,744,103"
"221","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",8.4,"YES","YES","5,893,663","4,923,330","6,863,995"
"222","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (<= 3 MI)","ANNUAL",11.6,"YES","YES","92,799","71,700","113,898"
"223","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (> 3 MI)","ANNUAL",1.7,"YES","YES","67,859","65,598","70,120"
"224","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","INLAND","ANNUAL",29.9,"YES","YES","83,748","34,668","132,828"
"225","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","UNKNOWN","ANNUAL",2.1,"YES","YES","749","718","780"
"226","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",7.9,"YES","YES","105,166","88,882","121,449"
"227","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",16.4,"YES","YES","60,826","41,274","80,378"
"228","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","INLAND","ANNUAL",18.6,"YES","YES","222,622","141,463","303,781"
"229","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","UNKNOWN","ANNUAL",5.5,"YES","YES","764","681","846"
"230","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",11.1,"YES","YES","1,270,342","993,967","1,546,718"
"231","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",26.4,"YES","YES","522,341","252,061","792,622"
"232","FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.5,"YES","YES","3,842,805","3,353,232","4,332,378"
"233","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",18.1,"YES","YES","2,267,168","1,462,868","3,071,469"
"234","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",9.4,"YES","YES","5,759,549","4,698,410","6,820,688"
"235","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (<= 3 MI)","ANNUAL",8.1,"YES","YES","80,562","67,772","93,352"
"236","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (> 3 MI)","ANNUAL",12.6,"YES","YES","36,654","27,602","45,706"
"237","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","INLAND","ANNUAL",7.6,"YES","YES","89,540","76,202","102,878"
"238","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","UNKNOWN","ANNUAL",3.4,"YES","YES","434","405","463"
"239","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",6.5,"YES","YES","50,973","44,479","57,467"
"240","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",7,"YES","YES","28,878","24,916","32,841"
"241","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","INLAND","ANNUAL",13.4,"YES","YES","87,403","64,447","110,358"
"242","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","UNKNOWN","ANNUAL",6,"YES","YES","689","608","770"
"243","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",9.9,"YES","YES","1,572,674","1,267,512","1,877,836"
"244","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",31.7,"CAUTION","YES","400,019","151,479","648,558"
"245","FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.8,"YES","YES","3,416,802","2,961,410","3,872,193"
"246","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",21.4,"YES","YES","1,251,834","726,765","1,776,903"
"247","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",7.5,"YES","YES","6,720,595","5,732,667","7,708,522"
"248","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (<= 3 MI)","ANNUAL",4.5,"YES","YES","60,239","54,926","65,552"
"249","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (> 3 MI)","ANNUAL",1.7,"YES","YES","36,164","34,959","37,369"
"250","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","INLAND","ANNUAL",2.4,"YES","YES","96,302","91,772","100,832"
"251","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","UNKNOWN","ANNUAL",2.4,"YES","YES","333","317","348"
"252","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",10.5,"YES","YES","55,068","43,735","66,401"
"253","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",15.7,"YES","YES","29,945","20,730","39,159"
"254","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","INLAND","ANNUAL",15.6,"YES","YES","105,059","72,936","137,181"
"255","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","UNKNOWN","ANNUAL",8.9,"YES","YES","1,491","1,231","1,751"
"256","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",11,"YES","YES","1,159,961","909,873","1,410,049"
"257","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",34.6,"CAUTION","YES","367,663","118,329","616,998"
"258","FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.6,"YES","YES","3,773,896","3,285,705","4,262,087"
"259","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",21.9,"YES","YES","1,065,557","608,177","1,522,936"
"260","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",7.3,"YES","YES","7,392,969","6,335,183","8,450,755"
"261","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (<= 3 MI)","ANNUAL",3.5,"YES","YES","60,521","56,369","64,673"
"262","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (> 3 MI)","ANNUAL",3.1,"YES","YES","26,619","25,001","28,236"
"263","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","INLAND","ANNUAL",5.1,"YES","YES","67,669","60,905","74,433"
"264","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","UNKNOWN","ANNUAL",3.8,"YES","YES","901","834","968"
"265","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",6.7,"YES","YES","70,587","61,318","79,856"
"266","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",8.1,"YES","YES","29,025","24,417","33,633"
"267","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","INLAND","ANNUAL",10,"YES","YES","77,936","62,661","93,211"
"268","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","UNKNOWN","ANNUAL",6.1,"YES","YES","639","562","715"
"269","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",11.6,"YES","YES","1,190,439","919,781","1,461,097"
"270","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",26.2,"YES","YES","381,452","185,569","577,335"
"271","FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.4,"YES","YES","3,802,294","3,325,334","4,279,253"
"272","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",23.2,"YES","YES","1,306,528","712,423","1,900,632"
"273","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",7.7,"YES","YES","6,914,138","5,870,656","7,957,620"
"274","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (<= 3 MI)","ANNUAL",3.8,"YES","YES","74,778","69,209","80,347"
"275","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (> 3 MI)","ANNUAL",3.2,"YES","YES","28,996","27,178","30,815"
"276","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","INLAND","ANNUAL",3.8,"YES","YES","62,993","58,301","67,684"
"277","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",5.7,"YES","YES","99,708","88,569","110,847"
"278","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",5.1,"YES","YES","44,577","40,121","49,033"
"279","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","INLAND","ANNUAL",10.6,"YES","YES","146,305","115,909","176,701"
"280","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","UNKNOWN","ANNUAL",7.7,"YES","YES","40","34","46"
"281","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",11.6,"YES","YES","1,408,808","1,088,501","1,729,115"
"282","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",41.8,"CAUTION","YES","240,908","43,537","438,280"
"283","FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",7,"YES","YES","3,878,243","3,346,148","4,410,338"
"284","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",22.5,"YES","YES","1,276,771","713,715","1,839,826"
"285","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",7.6,"YES","YES","7,329,912","6,238,049","8,421,776"
"286","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (<= 3 MI)","ANNUAL",4,"YES","YES","61,645","56,812","66,478"
"287","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","OCEAN (> 3 MI)","ANNUAL",2.7,"YES","YES","32,866","31,126","34,605"
"288","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","PARTY BOAT","INLAND","ANNUAL",2.8,"YES","YES","63,854","60,350","67,358"
"289","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (<= 3 MI)","ANNUAL",6.8,"YES","YES","83,647","72,498","94,795"
"290","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","OCEAN (> 3 MI)","ANNUAL",6.8,"YES","YES","43,134","37,385","48,883"
"291","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","CHARTER BOAT","INLAND","ANNUAL",10.3,"YES","YES","88,660","70,761","106,559"
"292","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (<= 3 MI)","ANNUAL",12.8,"YES","YES","1,246,753","933,968","1,559,539"
"293","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","OCEAN (> 3 MI)","ANNUAL",39.1,"CAUTION","YES","144,472","33,754","255,189"
"294","FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","PRIVATE/RENTAL BOAT","INLAND","ANNUAL",6.4,"YES","YES","4,260,833","3,726,354","4,795,312"
"295","FINAL",2013,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","OCEAN (<= 3 MI)","ANNUAL",17.1,"YES","YES","2,128,787","1,415,303","2,842,271"
"296","FINAL",2013,"CALENDAR YEAR (JAN 1 - DEC 31)","SHORE","INLAND","ANNUAL",8.3,"YES","YES","6,539,353","5,475,531","7,603,175"
